epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,29.7865,1.17256,2.20708,2.27104,1.4506,0,0.39431,0.5534,0.45743,0.27516,0.39554,0.56311,0.45611,0.27943,1.17871,2.22745,18.6753,1.61546,0,0.00066335,0.00066335,0.00066335
2,58.6033,1.45334,2.32734,2.01884,1.64896,0,0.66527,0.54031,0.62714,0.38734,0.66321,0.53533,0.61592,0.34904,1.12959,2.49123,7.71841,1.50192,0,0.00131685,0.00131685,0.00131685
3,86.4123,1.49521,2.40013,2.05135,1.66832,0,0.41546,0.34951,0.36916,0.21969,0.42989,0.35922,0.39967,0.24439,1.43448,2.10986,7.19578,1.73297,0,0.00195715,0.00195715,0.00195715
4,114.075,1.43392,2.28258,1.88949,1.62412,0,0.61534,0.51456,0.55974,0.3376,0.55675,0.59223,0.59027,0.37514,1.11264,1.69697,8.61981,1.44919,0,0.0019406,0.0019406,0.0019406
5,141.669,1.37937,2.20165,1.94985,1.58958,0,0.69039,0.57282,0.64523,0.39329,0.66947,0.59223,0.64502,0.38504,0.98864,2.28773,5.79609,1.38546,0,0.0019208,0.0019208,0.0019208
6,169.173,1.27126,2.05865,1.80948,1.51144,0,0.62201,0.51456,0.56399,0.36635,0.6623,0.54369,0.59459,0.40018,1.02093,1.75372,2.70455,1.345,0,0.001901,0.001901,0.001901
7,196.664,1.23327,2.0135,1.65424,1.49308,0,0.64533,0.67961,0.72741,0.47671,0.6713,0.62136,0.73305,0.49887,0.98797,1.71958,4.62401,1.34235,0,0.0018812,0.0018812,0.0018812
8,224.262,1.22503,2.03011,1.65598,1.4755,0,0.73395,0.58926,0.69009,0.48054,0.74604,0.59896,0.70575,0.50555,0.97485,1.38877,2.40554,1.27202,0,0.0018614,0.0018614,0.0018614
9,251.934,1.18711,1.95589,1.6211,1.43278,0,0.83773,0.75186,0.8202,0.567,0.84855,0.76157,0.83375,0.58255,0.90469,1.68336,2.73147,1.27889,0,0.0018416,0.0018416,0.0018416
10,279.65,1.13961,1.89306,1.51663,1.39339,0,0.70647,0.72816,0.75933,0.53617,0.71669,0.73786,0.77779,0.55764,0.96769,1.50205,2.74229,1.29486,0,0.0018218,0.0018218,0.0018218
11,307.867,1.1361,1.83949,1.49637,1.39128,0,0.78908,0.76278,0.84062,0.59587,0.81001,0.79612,0.84618,0.6088,0.89007,1.38895,1.51104,1.24172,0,0.001802,0.001802,0.001802
12,335.49,1.13847,1.79817,1.44539,1.39022,0,0.78495,0.82524,0.85185,0.5956,0.84796,0.7767,0.8688,0.61941,0.90512,1.18271,1.53438,1.32392,0,0.0017822,0.0017822,0.0017822
13,362.966,1.06037,1.71169,1.3759,1.34583,0,0.87841,0.70874,0.85227,0.61576,0.87841,0.70874,0.85278,0.62496,0.82994,1.27867,1.49258,1.23062,0,0.0017624,0.0017624,0.0017624
14,390.699,1.05318,1.73539,1.37444,1.36037,0,0.66973,0.75728,0.77308,0.53836,0.66944,0.75728,0.76905,0.53574,0.93718,1.62761,2.12428,1.24728,0,0.0017426,0.0017426,0.0017426
15,418.111,1.05361,1.77624,1.41473,1.35227,0,0.81909,0.79612,0.87809,0.63187,0.84847,0.76108,0.87739,0.65422,0.90367,1.23193,1.92903,1.25567,0,0.0017228,0.0017228,0.0017228
16,445.507,1.072,1.74414,1.37686,1.35553,0,0.8203,0.75344,0.86223,0.6324,0.80325,0.81553,0.89775,0.67038,0.83885,1.2515,1.14419,1.25732,0,0.001703,0.001703,0.001703
17,472.894,1.01277,1.66711,1.27923,1.32274,0,0.89399,0.81876,0.89487,0.66278,0.90482,0.8307,0.90221,0.66883,0.81438,1.1898,1.44847,1.20105,0,0.0016832,0.0016832,0.0016832
18,500.352,1.01586,1.68339,1.28391,1.31964,0,0.873,0.81553,0.91683,0.68683,0.83501,0.83533,0.9149,0.69347,0.75489,1.13954,1.80757,1.1478,0,0.0016634,0.0016634,0.0016634
19,527.832,1.03088,1.6887,1.31413,1.33547,0,0.8653,0.82524,0.91219,0.64169,0.87548,0.83495,0.90744,0.65152,0.8864,1.23047,1.01965,1.2378,0,0.0016436,0.0016436,0.0016436
20,555.385,0.98317,1.6477,1.24996,1.30729,0,0.84752,0.80949,0.8961,0.68672,0.85802,0.82146,0.91575,0.70114,0.71064,1.10894,2.00192,1.13619,0,0.0016238,0.0016238,0.0016238
21,582.967,0.97106,1.61216,1.23047,1.30537,0,0.85293,0.78827,0.88224,0.65931,0.84382,0.80583,0.90126,0.66382,0.7859,1.26424,1.95224,1.16452,0,0.001604,0.001604,0.001604
22,610.373,0.98232,1.56073,1.23555,1.29504,0,0.91956,0.7769,0.91268,0.63113,0.89612,0.82524,0.90956,0.66876,0.90735,1.24662,1.32467,1.24947,0,0.0015842,0.0015842,0.0015842
23,637.805,0.9749,1.61085,1.2775,1.28252,0,0.89746,0.8498,0.91077,0.64841,0.88726,0.84051,0.89888,0.66615,0.86149,1.26994,1.55884,1.24093,0,0.0015644,0.0015644,0.0015644
24,665.342,0.95644,1.59454,1.20624,1.30446,0,0.90429,0.85437,0.93987,0.6927,0.911,0.83495,0.93493,0.70629,0.80674,1.22435,1.36538,1.19758,0,0.0015446,0.0015446,0.0015446
25,693.225,0.93213,1.56188,1.17885,1.26814,0,0.89254,0.82524,0.90433,0.66805,0.89254,0.82524,0.91242,0.68655,0.81355,1.15814,1.52886,1.21695,0,0.0015248,0.0015248,0.0015248
26,721.092,0.99549,1.5999,1.22677,1.29769,0,0.91403,0.81553,0.92985,0.69796,0.93523,0.84108,0.94042,0.73673,0.79488,1.04032,1.1587,1.15333,0,0.001505,0.001505,0.001505
27,748.882,0.94439,1.60848,1.23132,1.26362,0,0.87142,0.87379,0.92188,0.70474,0.88111,0.8835,0.92489,0.72446,0.71299,1.03663,1.17318,1.08608,0,0.0014852,0.0014852,0.0014852
28,776.799,0.95214,1.60783,1.16152,1.28878,0,0.89887,0.86299,0.93399,0.71073,0.89887,0.86299,0.94029,0.72882,0.76135,1.13607,1.19495,1.12384,0,0.0014654,0.0014654,0.0014654
29,804.34,0.90122,1.55382,1.1557,1.24502,0,0.87891,0.85437,0.92093,0.70915,0.92545,0.84365,0.9286,0.72128,0.73655,1.11221,1.08698,1.13397,0,0.0014456,0.0014456,0.0014456
30,832.122,0.89256,1.5256,1.12229,1.24093,0,0.8824,0.80139,0.90562,0.69186,0.88394,0.81343,0.9083,0.70351,0.75729,1.08829,1.36753,1.16195,0,0.0014258,0.0014258,0.0014258
31,859.97,0.93578,1.52756,1.07881,1.26654,0,0.89203,0.86408,0.93611,0.69474,0.90254,0.87379,0.93789,0.70942,0.76668,1.08533,1.24107,1.16157,0,0.001406,0.001406,0.001406
32,887.901,0.87693,1.52625,1.10799,1.24385,0,0.79603,0.90936,0.90838,0.69094,0.84452,0.86408,0.91614,0.71731,0.72561,1.04603,1.03214,1.12289,0,0.0013862,0.0013862,0.0013862
33,915.507,0.91793,1.53428,1.07507,1.2657,0,0.90409,0.82365,0.93061,0.69965,0.92531,0.84196,0.93013,0.72645,0.7594,1.02286,1.14069,1.13751,0,0.0013664,0.0013664,0.0013664
34,943.208,0.90171,1.49038,1.07816,1.24607,0,0.94909,0.85437,0.94416,0.7217,0.93431,0.82862,0.92966,0.75453,0.73251,0.98122,0.97962,1.13942,0,0.0013466,0.0013466,0.0013466
35,971.014,0.9187,1.47179,1.07769,1.2615,0,0.90775,0.85989,0.94709,0.7186,0.88024,0.91262,0.94971,0.74451,0.74317,0.97326,1.24379,1.15978,0,0.0013268,0.0013268,0.0013268
36,998.767,0.86147,1.41388,1.04812,1.21606,0,0.82361,0.8835,0.91911,0.70289,0.82503,0.8932,0.90892,0.72787,0.73053,1.01639,1.4133,1.11444,0,0.001307,0.001307,0.001307
37,1026.48,0.86801,1.37696,1.03261,1.22036,0,0.79422,0.86186,0.88597,0.67702,0.80701,0.86408,0.90161,0.69422,0.7484,1.14285,1.78451,1.15027,0,0.0012872,0.0012872,0.0012872
38,1054.21,0.88197,1.39431,1.03008,1.24464,0,0.81811,0.8835,0.92366,0.69976,0.81811,0.8835,0.91822,0.7266,0.75244,1.04792,1.181,1.13073,0,0.0012674,0.0012674,0.0012674
39,1081.93,0.86526,1.37796,1.03417,1.21568,0,0.92092,0.90449,0.95547,0.72284,0.92131,0.91262,0.95136,0.74558,0.77011,1.0695,1.09346,1.16339,0,0.0012476,0.0012476,0.0012476
40,1109.9,0.86611,1.41428,1.00752,1.23575,0,0.82486,0.91453,0.93473,0.70045,0.82486,0.91453,0.94218,0.72792,0.77417,1.05145,1.4062,1.19269,0,0.0012278,0.0012278,0.0012278
41,1137.57,0.86952,1.47372,1.01458,1.22725,0,0.83366,0.92451,0.93693,0.70443,0.84046,0.93204,0.92996,0.72672,0.73746,1.09198,1.62145,1.17504,0,0.001208,0.001208,0.001208
42,1165.26,0.8421,1.36547,0.97953,1.20487,0,0.83447,0.88098,0.92127,0.71182,0.82917,0.86408,0.92382,0.73875,0.77061,1.00776,1.0187,1.18445,0,0.0011882,0.0011882,0.0011882
43,1192.76,0.80106,1.35766,0.94037,1.19777,0,0.84644,0.90976,0.92436,0.70271,0.86952,0.90579,0.93252,0.72447,0.76546,1.10344,0.88227,1.20412,0,0.0011684,0.0011684,0.0011684
44,1220.48,0.81916,1.36077,0.97796,1.20798,0,0.88085,0.87379,0.92408,0.73464,0.88472,0.8835,0.94249,0.75525,0.73452,1.03156,0.9762,1.12053,0,0.0011486,0.0011486,0.0011486
45,1248.34,0.83636,1.40184,0.98943,1.21271,0,0.88407,0.8885,0.93574,0.73459,0.91558,0.84234,0.93653,0.74935,0.64456,0.98579,0.95307,1.04335,0,0.0011288,0.0011288,0.0011288
46,1276.22,0.81906,1.37222,0.97371,1.19724,0,0.85097,0.88704,0.93266,0.7431,0.85534,0.87379,0.92849,0.73367,0.69266,1.09027,1.02263,1.14414,0,0.001109,0.001109,0.001109
47,1303.98,0.8185,1.40083,0.96491,1.20893,0,0.8284,0.90291,0.9285,0.72396,0.83763,0.91262,0.94605,0.73987,0.68997,1.08596,0.965,1.11579,0,0.0010892,0.0010892,0.0010892
48,1331.65,0.82748,1.40347,0.92975,1.21018,0,0.87167,0.82524,0.90166,0.70964,0.8866,0.82524,0.91599,0.72944,0.7631,1.13989,0.90851,1.22812,0,0.0010694,0.0010694,0.0010694
49,1359.24,0.82182,1.40998,0.96819,1.20469,0,0.85991,0.81553,0.90204,0.70965,0.89468,0.82479,0.92048,0.72551,0.67418,1.00763,0.77622,1.10114,0,0.0010496,0.0010496,0.0010496
50,1386.73,0.81961,1.37655,0.96195,1.19282,0,0.88331,0.8932,0.93921,0.74355,0.88331,0.8932,0.94254,0.75187,0.68512,1.02241,0.6258,1.12433,0,0.0010298,0.0010298,0.0010298
51,1414.47,0.80253,1.36185,0.93333,1.1913,0,0.89431,0.82156,0.88535,0.66626,0.91373,0.82265,0.89857,0.68646,0.74461,1.18977,1.19444,1.18259,0,0.00101,0.00101,0.00101
52,1442.28,0.80498,1.39036,0.93594,1.1809,0,0.85823,0.8932,0.92801,0.72357,0.86756,0.90291,0.92499,0.73841,0.64119,1.00742,0.95946,1.05525,0,0.0009902,0.0009902,0.0009902
53,1470.11,0.80768,1.3542,0.93876,1.19363,0,0.83271,0.84466,0.91345,0.71351,0.84289,0.85437,0.91376,0.72365,0.75235,1.05653,1.27211,1.14657,0,0.0009704,0.0009704,0.0009704
54,1497.84,0.81416,1.351,0.92169,1.21144,0,0.91245,0.80955,0.9213,0.70856,0.93122,0.81553,0.93165,0.73495,0.72941,0.96474,0.67787,1.15498,0,0.0009506,0.0009506,0.0009506
55,1525.41,0.79322,1.33603,0.89699,1.16808,0,0.86226,0.9117,0.95435,0.75367,0.89256,0.88721,0.95192,0.76858,0.69393,0.95371,0.75926,1.08836,0,0.0009308,0.0009308,0.0009308
